,word,score
0,is,0.125
1,not,-0.625
2,will,0.125
3,an,-0.125
4,had,0.25
5,were,0.125
6,been,0.125
7,new,0.375
8,other,-0.625
9,just,0.625
10,no,-0.25
11,like,0.125
12,off,-0.625
13,make,0.5
14,says,0.125
15,down,0.125
16,good,0.5
17,such,-0.125
18,very,0.5
19,high,0.125
20,then,0.375
21,say,0.125
22,help,0.5
23,know,0.625
24,want,-0.25
25,got,0.125
26,another,-0.125
27,best,0.25
28,win,0.125
29,today,0.125
30,set,0.125
31,really,0.625
32,number,-0.375
33,too,-0.125
34,better,0.5
35,lead,0.125
36,called,0.25
37,big,0.125
38,little,-0.25
39,never,-0.625
40,financial,0.25
41,several,-0.5
42,already,0.125
43,available,0.375
44,might,-0.125
45,must,0.375
46,able,0.125
47,find,0.625
48,times,0.5
49,security,0.375
50,less,-0.25
51,looking,0.125
52,recent,0.25
53,hard,-0.75
54,important,0.875
55,different,0.625
56,level,-0.25
57,loss,-0.25
58,New,0.375
59,issue,0.125
60,having,0.25
61,likely,0.5
62,strong,0.5
63,performance,0.125
64,believe,0.125
65,oil,-0.125
66,given,-0.125
67,due,0.375
68,health,0.625
69,killed,-0.5
70,further,0.375
71,However,-0.375
72,higher,0.375
73,yet,0.25
74,race,0.125
75,together,0.375
76,young,-0.125
77,issues,0.125
78,victory,0.375
79,sure,-0.25
80,global,-0.375
81,thought,0.125
82,gave,-0.125
83,feel,0.125
84,largest,0.125
85,wanted,0.25
86,problem,-0.625
87,problems,-0.625
88,chance,0.5
89,No,-0.25
90,risk,-0.25
91,makes,0.5
92,release,0.125
93,vote,0.125
94,clear,0.25
95,hand,0.5
96,winning,-0.125
97,compared,-0.125
98,private,0.125
99,contract,0.25
100,hope,0.125
101,lower,-0.125
102,demand,-0.25
103,quality,0.375
104,couple,-0.125
105,opportunity,0.5
106,bad,-0.875
107,however,-0.375
108,biggest,0.125
109,training,0.125
110,bit,-0.125
111,An,-0.125
112,education,0.25
113,love,0.625
114,buy,0.5
115,foreign,-0.125
116,wants,-0.25
117,district,0.25
118,soon,-0.125
119,safety,0.125
120,medical,0.125
121,non,-0.625
122,matter,-0.125
123,spent,0.125
124,question,-0.125
125,administration,0.375
126,friends,0.125
127,difficult,-0.75
128,significant,0.375
129,hospital,0.25
130,success,0.125
131,focus,0.125
132,talk,-0.125
133,ready,-0.25
134,despite,-0.625
135,similar,0.125
136,date,0.125
137,test,0.125
138,pretty,0.75
139,ability,0.5
140,actually,0.375
141,credit,0.125
142,patients,0.125
143,practice,0.125
144,idea,0.125
145,levels,-0.25
146,named,0.25
147,certain,-0.375
148,failed,-0.125
149,reach,0.25
150,Brown,-0.375
151,serious,0.125
152,remains,-0.125
153,black,-0.375
154,improve,0.375
155,crisis,-0.125
156,questions,-0.125
157,easy,0.375
158,executive,0.25
159,huge,-0.125
160,treatment,-0.5
161,read,0.25
162,rise,0.25
163,immediately,-0.375
164,happy,0.875
165,claims,0.125
166,various,-0.25
167,considered,0.125
168,activities,0.125
169,rules,0.25
170,review,0.125
171,quite,-0.625
172,heart,-0.125
173,prison,-0.125
174,concerns,0.25
175,Health,0.625
176,successful,0.625
177,forced,0.25
178,hopes,0.125
179,understand,0.375
180,popular,0.125
181,assets,0.25
182,Not,-0.625
183,contact,0.375
184,challenge,0.125
185,sense,0.375
186,highest,-0.125
187,finish,-0.125
188,Then,0.375
189,advantage,0.625
190,scoring,0.125
191,reduce,0.125
192,fiscal,0.25
193,injury,-0.625
194,drop,0.125
195,true,0.5
196,consider,0.125
197,Other,-0.625
198,opportunities,0.5
199,strategy,0.125
200,injured,-0.5
201,missed,-0.25
202,wrong,-0.75
203,damage,-0.125
204,mind,0.125
205,fun,0.375
206,championship,-0.125
207,effective,0.125
208,friend,0.125
209,Democratic,0.375
210,believes,0.125
211,add,0.5
212,health_care,-0.625
213,missing,-0.25
214,responsible,0.625
215,approximately,0.25
216,spend,0.125
217,opposition,-0.75
218,certainly,0.25
219,talking,-0.125
220,emergency,-0.5
221,critical,-0.5
222,size,-0.25
223,declined,-0.25
224,lose,-0.5
225,protect,-0.75
226,District,0.25
227,necessary,-0.125
228,options,-0.25
229,peace,0.125
230,Times,0.5
231,fine,-0.125
232,activity,0.125
233,believed,0.125
234,aid,-0.25
235,losing,-0.5
236,claim,0.125
237,Just,0.625
238,Another,-0.125
239,worst,-1.0
240,safe,0.625
241,greater,0.25
242,managed,0.125
243,wins,0.125
244,plus,0.625
245,High,0.125
246,focused,0.125
247,injuries,-0.625
248,Big,0.125
249,option,-0.25
250,knows,0.625
251,broke,0.125
252,improved,0.375
253,concern,0.25
254,unique,0.375
255,favorite,0.25
256,Today,0.125
257,risks,-0.25
258,Despite,-0.625
259,boy,0.25
260,prevent,0.25
261,difference,-0.375
262,pair,0.125
263,interested,0.125
264,bottom,-0.125
265,D,-0.125
266,affected,0.125
267,combined,-0.125
268,hurt,-0.625
269,red,-0.375
270,strike,-0.125
271,boys,0.25
272,rule,0.25
273,cancer,-0.125
274,commitment,0.5
275,thinking,0.125
276,digital,0.125
277,Web,0.25
278,highly,0.625
279,accident,-0.75
280,murder,-0.375
281,wide,0.125
282,pleased,0.625
283,keeping,0.625
284,warned,-0.5
285,Is,0.125
286,consecutive,-0.375
287,older,0.5
288,criminal,-0.25
289,enjoy,0.375
290,skills,0.25
291,jail,0.125
292,protection,-0.125
293,Taylor,0.125
294,votes,0.125
295,strength,0.375
296,regarding,0.125
297,powerful,0.25
298,challenges,0.125
299,larger,0.125
300,definitely,0.25
301,honor,0.5
302,active,0.375
303,reduced,0.125
304,easily,0.25
305,denied,-0.875
306,section,0.125
307,admitted,0.125
308,estimates,-0.25
309,excited,-0.125
310,helps,0.5
311,relief,0.125
312,suspect,0.25
313,degree,-0.25
314,smaller,-0.125
315,healthy,0.75
316,distribution,0.25
317,completely,0.5
318,fresh,-0.25
319,Tom,0.125
320,contest,0.25
321,outstanding,0.75
322,exactly,0.125
323,contributed,0.25
324,movement,-0.125
325,fear,-0.875
